time,check,name,extname
308784.4,✓,OrdinaryDiffEq,
28016.2,✓,VectorizationBase,
24647.9,✓,Sundials,
22094.4,✓,LoopVectorization,
15727.2,✓,StochasticDiffEq,
14834.5,✓,StaticArrays,
13036.0,✓,Distributions,
12824.0,✓,NonlinearSolve,
12430.9,✓,SimpleNonlinearSolve,
12319.0,✓,LinearSolve,
11731.2,✓,SciMLBase,
11721.7,✓,DifferentialEquations,
11316.9,✓,ArrayLayouts,
11197.4,✓,DelayDiffEq,
10813.4,✓,RecursiveFactorization,
10460.9,✓,ForwardDiff,
9359.1,✓,DiffEqBase,
9330.1,✓,DiffEqNoiseProcess,
9122.6,✓,Graphs,
8463.0,✓,BoundaryValueDiffEq,
8051.3,✓,SpecialFunctions,
7770.0,✓,JumpProcesses,
7336.8,✓,BandedMatrices,
6893.2,✓,Preferences,
6504.6,✓,DiffEqBase,DistributionsExt
6490.4,✓,Optim,
6452.0,✓,RecipesBase,
6205.8,✓,LoopVectorization,ForwardDiffExt
6147.5,✓,SteadyStateDiffEq,
6091.5,✓,Krylov,
5653.7,✓,StatsFuns,
5651.9,✓,DiffEqCallbacks,
5210.0,✓,SIMDDualNumbers,
5103.8,✓,OffsetArrays,
5101.9,✓,MacroTools,
5059.0,✓,SciMLNLSolve,
4564.1,✓,KrylovKit,
4548.1,✓,SparseDiffTools,
4322.2,✓,RecursiveArrayTools,
4265.8,✓,SLEEFPirates,
4160.0,✓,TriangularSolve,
4121.6,✓,StatsBase,
4118.4,✓,ThreadingUtilities,
4076.5,✓,DataStructures,
3899.2,✓,StrideArraysCore,
3827.6,✓,FastBroadcast,
3635.4,✓,Polyester,
3597.6,✓,LoopVectorization,SpecialFunctionsExt
3439.0,✓,LineSearches,
3363.4,✓,ArnoldiMethod,
3242.2,✓,NLsolve,
3205.7,✓,FiniteDiff,
3065.9,✓,PreallocationTools,
3055.5,✓,NLSolversBase,
2991.8,✓,LayoutPointers,
2957.8,✓,ChainRulesCore,
2929.4,✓,Setfield,
2886.4,✓,IterativeSolvers,
2854.6,✓,DualNumbers,
2669.1,✓,ExponentialUtilities,
2663.2,✓,FastLapackInterface,
2636.5,✓,ArrayInterfaceStaticArrays,
2603.5,✓,HostCPUFeatures,
2550.2,✓,VertexSafeGraphs,
2283.1,✓,Tables,
2243.8,✓,FillArrays,
2198.1,✓,ResettableStacks,
2196.8,✓,GenericSchur,
2145.2,✓,ArrayInterface,
2132.0,✓,KLU,
1985.9,✓,RandomNumbers,
1969.9,✓,Random123,
1883.6,✓,HypergeometricFunctions,
1865.5,✓,IrrationalConstants,
1829.7,✓,QuadGK,
1816.9,✓,LogExpFunctions,ChainRulesCoreExt
1759.1,✓,Sparspak,
1687.1,✓,Distances,
1575.0,✓,Static,
1519.8,✓,ZygoteRules,
1474.3,✓,Rmath,
1368.6,✓,CpuId,
1321.2,✓,Sundials_jll,
1315.8,✓,SimpleTraits,
1298.4,✓,ArrayInterfaceCore,
1255.7,✓,FunctionWrappers,
1232.9,✓,Statistics,
1208.4,✓,LevyArea,
1185.9,✓,SortingAlgorithms,
1164.2,✓,LogExpFunctions,
1139.2,✓,PDMats,
1106.5,✓,DocStringExtensions,
1105.6,✓,Calculus,
1093.4,✓,CloseOpenIntervals,
1090.6,✓,JLLWrappers,
1018.3,✓,Missings,
1013.4,✓,SnoopPrecompile,
1011.6,✓,OrderedCollections,
969.7,✓,PolyesterWeave,
968.1,✓,CPUSummary,
960.9,✓,GPUArraysCore,
949.7,✓,PositiveFactorizations,
899.7,✓,DiffResults,
892.1,✓,BitTwiddlingConvenienceFunctions,
884.5,✓,CommonSubexpressions,
881.9,✓,FunctionWrappersWrappers,
881.4,✓,Requires,
879.2,✓,ArrayInterfaceOffsetArrays,
878.2,✓,DensityInterface,
873.7,✓,ConstructionBase,
859.4,✓,SymbolicIndexingInterface,
847.5,✓,Parameters,
831.1,✓,DiffRules,
825.8,✓,Adapt,
823.3,✓,SuiteSparse_jll,
813.5,✓,Inflate,
813.1,✓,NaNMath,
796.9,✓,DataAPI,
792.6,✓,InverseFunctions,
776.2,✓,StaticArraysCore,
775.4,✓,RuntimeGeneratedFunctions,
771.6,✓,ManualMemory,
753.6,✓,ExprTools,
753.2,✓,OpenLibm_jll,
752.9,✓,Rmath_jll,
751.4,✓,IfElse,
749.8,✓,FastClosures,
742.7,✓,StatsAPI,
727.7,✓,OpenSpecFun_jll,
706.3,✓,LogExpFunctions,InverseFunctionsExt
705.4,✓,ArrayInterfaceGPUArrays,
691.0,✓,CEnum,
689.8,✓,EnumX,
685.4,✓,Tricks,
681.6,✓,LibSSH2_jll,
676.8,✓,TableTraits,
661.4,✓,ArrayInterfaceStaticArraysCore,
660.6,✓,SuiteSparse,
652.3,✓,IteratorInterfaceExtensions,
648.9,✓,Compat,
647.2,✓,PoissonRandom,
643.5,✓,TreeViews,
637.6,✓,CommonSolve,
601.8,✓,UnPack,
587.7,✓,MbedTLS_jll,
578.7,✓,DataValueInterfaces,
576.9,✓,Zlib_jll,
541.2,✓,Reexport,
515.5,✓,SIMDTypes,
488.6,✓,MuladdMacro,
